Date,TrnId,Trn,TrnRk,TrnSite,TrnSpeed,TrnSpeedNb,CourtId,RoundId,Round,P1Id,P1,P2Id,P2,Result,IndexP,Player,AceRatePlayer,Srv1PtsP1,Srv1PtsWonP1,Srv2PtsP1,Srv2PtsWonP1,Rk1,Rk2,Odds1,Odds2,IsCompleted,P1ServingFirst,StatusP1,StatusP2,SetsP1,SetsP2,GamesP1,GamesP2,S1,S2,S3,S4,S5,S1_2,S2_2,S3_2,S4_2,S5_2,AvgAceRateP,AvgAceRateOpp,AvgPtsWonServ,AvgPtsWonRetrnOpp,IsEnoughData3,IsValidData
06/12/20 00:00:00,16858,Campinas CH,1,6307,1.15,27,2,12,Final,52279,Francisco Cerundolo,21506,Roberto Carballes Baena,6-4 3-6 6-3,0,Francisco Cerundolo,3.4,51,34,37,23,159,102,1.79,2.07,True,,,,2,1,15,13,6,3,6,-1,-1,4,6,3,-1,-1,3.1,4.1,61,42.7,1,1
06/12/20 00:00:00,16858,Campinas CH,1,6307,1.15,27,2,12,Final,52279,Francisco Cerundolo,21506,Roberto Carballes Baena,6-4 3-6 6-3,1,Roberto Carballes Baena,2.3,51,35,35,16,159,102,1.79,2.07,True,,,,1,2,15,13,6,3,6,-1,-1,4,6,3,-1,-1,3.2,2.2,61.6,42.4,1,1
06/12/20 00:00:00,16859,Maia CH,1,8312,0.97,32,2,12,Final,7555,Pedro Sousa,29665,Carlos Taberner,6-0 5-7 6-2,0,Pedro Sousa,2.6,55,39,23,12,113,152,1.77,2.1,True,,,,2,1,17,9,6,5,6,-1,-1,0,7,2,-1,-1,2.9,4.9,60.3,43.4,1,1
06/12/20 00:00:00,16859,Maia CH,1,8312,0.97,32,2,12,Final,7555,Pedro Sousa,29665,Carlos Taberner,6-0 5-7 6-2,1,Carlos Taberner,0,50,23,41,23,113,152,1.77,2.1,True,,,,1,2,17,9,6,5,6,-1,-1,0,7,2,-1,-1,3.2,3.9,61.4,43.9,1,1
05/12/20 00:00:00,16859,Maia CH,1,8312,0.97,32,2,10,1/2,29665,Carlos Taberner,47543,Duje Ajdukovic,7-5 6-7(9) 6-4,0,Carlos Taberner,0.9,69,50,46,20,152,377,1.7,2.21,True,,,,2,1,19,16,7,6,6,-1,-1,5,7,4,-1,-1,3.2,2.8,61.4,46.9,0,1
05/12/20 00:00:00,16859,Maia CH,1,8312,0.97,32,2,10,1/2,29665,Carlos Taberner,47543,Duje Ajdukovic,7-5 6-7(9) 6-4,1,Duje Ajdukovic,3.5,84,54,60,24,152,377,1.7,2.21,True,,,,1,2,19,16,7,6,6,-1,-1,5,7,4,-1,-1,4.9,4.9,60.9,43.4,0,1
05/12/20 00:00:00,16858,Campinas CH,1,6307,1.15,27,2,10,1/2,52279,Francisco Cerundolo,36617,Felipe Meligeni Rodrigues Alves,6-1 6-4,0,Francisco Cerundolo,5.3,33,21,24,14,159,242,1.68,2.26,True,True,,,2,0,12,5,6,6,-1,-1,-1,1,4,-1,-1,-1,3.1,4.9,61,41,1,1
05/12/20 00:00:00,16858,Campinas CH,1,6307,1.15,27,2,10,1/2,52279,Francisco Cerundolo,36617,Felipe Meligeni Rodrigues Alves,6-1 6-4,1,Felipe Meligeni Rodrigues Alves,1.6,43,20,20,9,159,242,1.68,2.26,True,True,,,0,2,12,5,6,6,-1,-1,-1,1,4,-1,-1,-1,4.1,2.2,62.5,42.4,1,1
05/12/20 00:00:00,16859,Maia CH,1,8312,0.97,32,2,10,1/2,7555,Pedro Sousa,29579,Bernabe Zapata Miralles,6-4 6-1,0,Pedro Sousa,0,33,24,21,11,113,155,2.21,1.7,True,False,,,2,0,12,5,6,6,-1,-1,-1,4,1,-1,-1,-1,2.9,4,60.3,42.5,1,1
05/12/20 00:00:00,16859,Maia CH,1,8312,0.97,32,2,10,1/2,7555,Pedro Sousa,29579,Bernabe Zapata Miralles,6-4 6-1,1,Bernabe Zapata Miralles,1.9,37,19,16,5,113,155,2.21,1.7,True,False,,,0,2,12,5,6,6,-1,-1,-1,4,1,-1,-1,-1,2.8,3.9,59.3,43.9,1,1
05/12/20 00:00:00,16858,Campinas CH,1,6307,1.15,27,2,10,1/2,21506,Roberto Carballes Baena,26845,Daniel Elahi Galan,6-4 6-2,0,Roberto Carballes Baena,1.9,30,20,22,17,102,117,2.14,1.76,True,,,,2,0,12,6,6,6,-1,-1,-1,4,2,-1,-1,-1,3.2,3.5,61.6,39.2,1,1
05/12/20 00:00:00,16858,Campinas CH,1,6307,1.15,27,2,10,1/2,21506,Roberto Carballes Baena,26845,Daniel Elahi Galan,6-4 6-2,1,Daniel Elahi Galan,10.6,29,16,18,10,102,117,2.14,1.76,True,,,,0,2,12,6,6,6,-1,-1,-1,4,2,-1,-1,-1,6.5,4.1,63.9,42.7,1,1
